Year,Event,Gold,Gold_Nation,Silver,Silver_Nation,Bronze,Bronze_Nation
"2016","Athletics Men 100 metres","Usain Bolt","Jamaica","Justin Gatlin","United States","Andre De Grasse","Canada"
"2016","Athletics Men 200 metres","Usain Bolt","Jamaica","Andre De Grasse","Canada","Christophe Lemaitre","France"
"2014","Alpine Skiing Men downhill","Matthias Mayer","Austria","Christof Innerhofer","Italy","Kjetil Jansrud","Norway"
"2014","Alpine Skiing Men giant slalom","Ted Ligety","United States","Steve Missillier","France","Alexis Pinturault","France"
"2014","Alpine Skiing Men slalom","Mario Matt","Austria","Marcel Hirscher","Austria","Henrik Kristoffersen","Norway"
"2014","Alpine Skiing Men super g","Kjetil Jansrud","Norway","Andrew Weibrecht","United States","['Bode Miller', 'Jan Hudec']","['United States', 'Canada']"
"2014","Alpine Skiing Women combined","Maria H_fl-Riesch","Germany","Nicole Hosp","Austria","Julia Mancuso","United States"
"2014","Alpine Skiing Women downhill","['Tina Maze', 'Dominique Gisin']","['Slovenia', 'Switzerland']",,,"Lara Gut","Switzerland"
"2014","Alpine Skiing Women giant slalom","Tina Maze","Slovenia","Anna Fenninger","Austria","Viktoria Rebensburg","Germany"
"2014","Alpine Skiing Women slalom","Mikaela Shiffrin","United States","Marlies Schild","Austria","Kathrin Zettel","Austria"
"2014","Alpine Skiing Women super g","Anna Fenninger","Austria","Maria H_fl-Riesch","Germany","Nicole Hosp","Austria"
"2014","Biathlon Men 10 kilometres sprint","Ole Einar Bj_rndalen","Norway","Dominik Landertinger","Austria","Jaroslav Soukup","Czech Republic"
"2014","Biathlon Men 12_5 kilometres pursuit","Martin Fourcade","France","Ond_ej Moravec","Czech Republic","Jean-Guillaume Beatrix","France"
"2014","Biathlon Men 15 kilometres mass start","Emil Hegle Svendsen","Norway","Martin Fourcade","France","Ond_ej Moravec","Czech Republic"
"2014","Biathlon Men 20 kilometres","Martin Fourcade","France","Erik Lesser","Germany","Yevgeny Garanichev","Russia"
"2014","Biathlon Men 4 x 7_5 kilometres relay","Russia","Russia","Germany","Germany","Austria","Austria"
"2014","Biathlon Mixed 2 x 6 kilometres and 2 x 7_5 kilometres relay","Norway","Norway","Czech Republic","Czech Republic","Italy","Italy"
"2014","Biathlon Women 10 kilometres pursuit","Darya Domracheva","Belarus","Tora Berger","Norway","Teja Gregorin","Slovenia"
"2014","Biathlon Women 12_5 kilometres mass start","Darya Domracheva","Belarus","Gabriela Soukalov_","Czech Republic","Tiril Eckhoff","Norway"
"2014","Biathlon Women 15 kilometres","Darya Domracheva","Belarus","Selina Gasparin","Switzerland","Nadezhda Skardino","Belarus"
"2014","Biathlon Women 4 x 6 kilometres relay","Ukraine","Ukraine","Russia","Russia","Norway","Norway"
"2014","Biathlon Women 7_5 kilometres sprint","Anastasia Kuzmina","Slovakia","Olga Vilukhina","Russia","Vita Semerenko","Ukraine"
"2014","Bobsleigh Men four","Russia","Russia","Latvia","Latvia","United States","United States"
"2014","Bobsleigh Men two","Russia","Russia","Switzerland","Switzerland","United States","United States"
"2014","Bobsleigh Women two","Canada","Canada","United States","United States","United States","United States"
"2014","Cross Country Skiing Men 15 kilometres","Dario Cologna","Switzerland","Johan Olsson","Sweden","Daniel Richardsson","Sweden"
"2014","Cross Country Skiing Men 30 km skiathlon","Dario Cologna","Switzerland","Marcus Hellner","Sweden","Martin Johnsrud Sundby","Norway"
"2014","Cross Country Skiing Men 4 x 10 kilometres relay","Sweden","Sweden","Russia","Russia","France","France"
"2014","Cross Country Skiing Men 50 kilometres","Aleksandr Legkov","Russia","Maksim Vylegzhanin","Russia","Ilya Chernousov","Russia"
"2014","Cross Country Skiing Men sprint","Ola Vigen Hattestad","Norway","Teodor Peterson","Sweden","Emil J_nsson","Sweden"
"2014","Cross Country Skiing Men team sprint","Finland","Finland","Russia","Russia","Sweden","Sweden"
"2014","Cross Country Skiing Women 10 kilometres","Justyna Kowalczyk","Poland","Charlotte Kalla","Sweden","Therese Johaug","Norway"
"2014","Cross Country Skiing Women 15 km skiathlon","Marit Bj_rgen","Norway","Charlotte Kalla","Sweden","Heidi Weng","Norway"
"2014","Cross Country Skiing Women 30 kilometres","Marit Bj_rgen","Norway","Therese Johaug","Norway","Kristin St_rmer Steira","Norway"
"2014","Cross Country Skiing Women 4 x 5 kilometres relay","Sweden","Sweden","Finland","Finland","Germany","Germany"
"2014","Cross Country Skiing Women sprint","Maiken Caspersen Falla","Norway","Ingvild Flugstad _stberg","Norway","Vesna Fabjan","Slovenia"
"2014","Cross Country Skiing Women team sprint","Norway","Norway","Finland","Finland","Sweden","Sweden"
"2014","Curling Men curling","Canada","Canada","Great Britain","Great Britain","Sweden","Sweden"
"2014","Curling Women curling","Canada","Canada","Sweden","Sweden","Great Britain","Great Britain"
"2014","Figure Skating Men singles","Yuzuru Hanyu","Japan","Patrick Chan","Canada","Denis Ten","Kazakhstan"
"2014","Figure Skating Mixed ice dancing","United States","United States","Canada","Canada","Russia","Russia"
"2014","Figure Skating Mixed pairs","Russia","Russia","Russia","Russia","Germany","Germany"
"2014","Figure Skating Mixed team","Russia","Russia","Canada","Canada","United States","United States"
"2014","Figure Skating Women singles","Adelina Sotnikova","Russia","Yu-Na Kim","South Korea","Carolina Kostner","Italy"
"2014","Freestyle Skiing Men aerials","Anton Kushnir","Belarus","David Morris","Australia","Jia Zongyang","China"
"2014","Freestyle Skiing Men halfpipe","David Wise","United States","Mike Riddle","Canada","Kevin Rolland","France"
"2014","Freestyle Skiing Men moguls","Alexandre Bilodeau","Canada","Mikael Kingsbury","Canada","Aleksandr Smyshlyayev","Russia"
"2014","Freestyle Skiing Men ski cross","Jean-Frederic Chapuis","France","Arnaud Bovolenta","France","Jonathan Midol","France"
"2014","Freestyle Skiing Men slopestyle","Joss Christensen","United States","Gus Kenworthy","United States","Nick Goepper","United States"
"2014","Freestyle Skiing Women aerials","Alla Tsuper","Belarus","Xu Mengtao","China","Lydia Ierodiaconou-Lassila","Australia"
"2014","Freestyle Skiing Women halfpipe","Maddie Bowman","United States","Marie Martinod","France","Ayana Onozuka","Japan"
"2014","Freestyle Skiing Women moguls","Justine Dufour-Lapointe","Canada","Chloe Dufour-Lapointe","Canada","Hannah Kearney","United States"
"2014","Freestyle Skiing Women ski cross","Marielle Thompson","Canada","Kelsey Serwa","Canada","Anna Holmlund","Sweden"
"2014","Freestyle Skiing Women slopestyle","Dara Howell","Canada","Devin Logan","United States","Kim Lamarre","Canada"
"2014","Ice Hockey Men ice hockey","Canada","Canada","Sweden","Sweden","Finland","Finland"
"2014","Ice Hockey Women ice hockey","Canada","Canada","United States","United States","Switzerland","Switzerland"
"2014","Luge Men singles","Felix Loch","Germany","Albert Demchenko","Russia","Armin Z_ggeler","Italy"
"2014","Luge Mixed Men doubles","Germany","Germany","Austria","Austria","Latvia","Latvia"
"2014","Luge Mixed team relay","Germany","Germany","Russia","Russia","Latvia","Latvia"
"2014","Luge Women singles","Natalie Geisenberger","Germany","Tatjana H_fner","Germany","Erin Hamlin","United States"
"2014","Nordic Combined Men large hill 10 km individual","J_rgen Graabak","Norway","Magnus Moan","Norway","Fabian Rie_le","Germany"
"2014","Nordic Combined Men normal hill 10 km individual","Eric Frenzel","Germany","Akito Watabe","Japan","Magnus Krog","Norway"
"2014","Nordic Combined Men team","Norway","Norway","Germany","Germany","Austria","Austria"
"2014","Short Track Speed Skating Men 1000 metres","Viktor An","Russia","Vladimir Grigoryev","Russia","Sjinkie Knegt","Netherlands"
"2014","Short Track Speed Skating Men 1500 metres","Charles Hamelin","Canada","Han Tianyu","China","Viktor An","Russia"
"2014","Short Track Speed Skating Men 500 metres","Viktor An","Russia","Wu Dajing","China","Charle Cournoyer","Canada"
"2014","Short Track Speed Skating Men 5000 metres relay","Russia","Russia","United States","United States","China","China"
"2014","Short Track Speed Skating Women 1000 metres","Park Seung-Hui","South Korea","Fan Kexin","China","Shim Seok-Hui","South Korea"
"2014","Short Track Speed Skating Women 1500 metres","Zhou Yang","China","Shim Seok-Hui","South Korea","Arianna Fontana","Italy"
"2014","Short Track Speed Skating Women 3000 metres relay","South Korea","South Korea","Canada","Canada","Italy","Italy"
"2014","Short Track Speed Skating Women 500 metres","Li Jianrou","China","Arianna Fontana","Italy","Park Seung-Hui","South Korea"
"2014","Skeleton Men skeleton","Aleksandr Tretyakov","Russia","M_rti__ Dukurs","Latvia","Matt Antoine","United States"
"2014","Skeleton Women skeleton","Lizzy Yarnold","Great Britain","Noelle Pikus-Pace","United States","Yelena Nikitina","Russia"
"2014","Ski Jumping Men large hill individual","Kamil Stoch","Poland","Noriaki Kasai","Japan","Peter Prevc","Slovenia"
"2014","Ski Jumping Men large hill team","Germany","Germany","Austria","Austria","Japan","Japan"
"2014","Ski Jumping Men normal hill individual","Kamil Stoch","Poland","Peter Prevc","Slovenia","Anders Bardal","Norway"
"2014","Ski Jumping Women normal hill individual","Carina Vogt","Germany","Daniela Iraschko-Stolz","Austria","Coline Mattel","France"
"2014","Snowboarding Men boardercross","Pierre Vaultier","France","Nikolay Olyunin","Russia","Alex Deibold","United States"
"2014","Snowboarding Men halfpipe","Iouri Podladtchikov","Switzerland","Ayumu Hirano","Japan","Taku Hiraoka","Japan"
"2014","Snowboarding Men parallel giant slalom","Vic Wild","Russia","Nevin Galmarini","Switzerland","_an Ko_ir","Slovenia"
"2014","Snowboarding Men parallel slalom","Vic Wild","Russia","_an Ko_ir","Slovenia","Benjamin Karl","Austria"
"2014","Snowboarding Men slopestyle","Sage Kotsenburg","United States","St_le Sandbech","Norway","Mark McMorris","Canada"
"2014","Snowboarding Women boardercross","Eva Samkov_","Czech Republic","Dominique Maltais","Canada","Chloe Trespeuch","France"
"2014","Snowboarding Women halfpipe","Kaitlyn Farrington","United States","Torah Bright","Australia","Kelly Clark","United States"
"2014","Snowboarding Women parallel giant slalom","Patrizia Kummer","Switzerland","Tomoka Takeuchi","Japan","Alyona Zavarzina","Russia"
"2014","Snowboarding Women parallel slalom","Julia Dujmovits","Austria","Anke Karstens","Germany","Amelie Kober","Germany"
"2014","Snowboarding Women slopestyle","Jamie Anderson","United States","Enni Rukaj_rvi","Finland","Jenny Jones","Great Britain"
"2014","Speed Skating Men 1000 metres","Stefan Groothuis","Netherlands","Denny Morrison","Canada","Michel Mulder","Netherlands"
"2014","Speed Skating Men 10000 metres","Jorrit Bergsma","Netherlands","Sven Kramer","Netherlands","Bob de Jong","Netherlands"
"2014","Speed Skating Men 1500 metres","Zbigniew Br_dka","Poland","Koen Verweij","Netherlands","Denny Morrison","Canada"
"2014","Speed Skating Men 500 metres","Michel Mulder","Netherlands","Jan Smeekens","Netherlands","Ronald Mulder","Netherlands"
"2014","Speed Skating Men 5000 metres","Sven Kramer","Netherlands","Jan Blokhuijsen","Netherlands","Jorrit Bergsma","Netherlands"
"2014","Speed Skating Men team pursuit 8 laps","Netherlands","Netherlands","South Korea","South Korea","Poland","Poland"
"2014","Speed Skating Women 1000 metres","Zhang Hong","China","Ireen W_st","Netherlands","Margot Boer","Netherlands"
"2014","Speed Skating Women 1500 metres","Jorien ter Mors","Netherlands","Ireen W_st","Netherlands","Lotte van Beek","Netherlands"
"2014","Speed Skating Women 3000 metres","Ireen W_st","Netherlands","Martina S_bl_kov_","Czech Republic","Olga Graf","Russia"
"2014","Speed Skating Women 500 metres","Lee Sang-Hwa","South Korea","Olga Fatkulina","Russia","Margot Boer","Netherlands"
"2014","Speed Skating Women 5000 metres","Martina S_bl_kov_","Czech Republic","Ireen W_st","Netherlands","Carien Kleibeuker","Netherlands"
"2014","Speed Skating Women team pursuit 6 laps","Netherlands","Netherlands","Poland","Poland","Russia","Russia"
"2012","Archery Men individual","Oh Jin-Hyek","South Korea","Takaharu Furukawa","Japan","Dai Xiaoxiang","China"
"2012","Archery Men team","Italy","Italy","United States","United States","South Korea","South Korea"
"2012","Archery Women individual","Ki Bo-Bae","South Korea","A_da Rom_n","Mexico","Mariana Avitia","Mexico"
"2012","Archery Women team","South Korea","South Korea","China","China","Japan","Japan"
"2012","Athletics Men 100 metres","Usain Bolt","Jamaica","Yohan Blake","Jamaica","Justin Gatlin","United States"
"2012","Athletics Men 10000 metres","Mo Farah","Great Britain","Galen Rupp","United States","Tariku Bekele","Ethiopia"
"2012","Athletics Men 110 metres hurdles","Aries Merritt","United States","Jason Richardson","United States","Hansle Parchment","Jamaica"
"2012","Athletics Men 1500 metres","Taoufik Makhloufi","Algeria","Leo Manzano","United States","Abdalaati Iguider","Morocco"
"2012","Athletics Men 20 kilometres walk","Chen Ding","China","Erick Barrondo","Guatemala","Wang Zhen","China"
"2012","Athletics Men 200 metres","Usain Bolt","Jamaica","Yohan Blake","Jamaica","Warren Weir","Jamaica"
"2012","Athletics Men 3000 metres steeplechase","Ezekiel Kemboi","Kenya","Mahiedine Mekhissi-Benabbad","France","Abel Mutai","Kenya"
"2012","Athletics Men 4 x 100 metres relay","Jamaica","Jamaica","Trinidad and Tobago","Trinidad and Tobago","France","France"
"2012","Athletics Men 4 x 400 metres relay","Bahamas","Bahamas","United States","United States","Trinidad and Tobago","Trinidad and Tobago"
"2012","Athletics Men 400 metres","Kirani James","Grenada","Luguel_n Santos","Dominican Republic","Lalonde Gordon","Trinidad and Tobago"
"2012","Athletics Men 400 metres hurdles","F_lix S_nchez","Dominican Republic","Michael Tinsley","United States","Javier Culson","Puerto Rico"
"2012","Athletics Men 50 kilometres walk","Sergey Kirdyapkin","Russia","Jared Tallent","Australia","Si Tianfeng","China"
"2012","Athletics Men 5000 metres","Mo Farah","Great Britain","Dejen Gebremeskel","Ethiopia","Thomas Longosiwa","Kenya"
"2012","Athletics Men 800 metres","David Rudisha","Kenya","Nijel Amos","Botswana","Timothy Kitum","Kenya"
"2012","Athletics Men decathlon","Ashton Eaton","United States","Trey Hardee","United States","Leonel Su_rez","Cuba"
"2012","Athletics Men discus throw","Robert Harting","Germany","Ehsan Haddadi","Iran","Gerd Kanter","Estonia"
"2012","Athletics Men hammer throw","Kriszti_n Pars","Hungary","Primo_ Kozmus","Slovenia","Koji Murofushi","Japan"
"2012","Athletics Men high jump","Ivan Ukhov","Russia","Erik Kynard","United States","['Derek Drouin', 'Robbie Grabarz', 'Mutaz Essa Barshim']","['Canada', 'Great Britain', 'Qatar']"
"2012","Athletics Men javelin throw","Keshorn Walcott","Trinidad and Tobago","Oleksandr P'iatnytsia","Ukraine","Antti Ruuskanen","Finland"
"2012","Athletics Men long jump","Greg Rutherford","Great Britain","Mitch Watt","Australia","Will Claye","United States"
"2012","Athletics Men marathon","Stephen Kiprotich","Uganda","Abel Kirui","Kenya","Wilson Kipsang Kiprotich","Kenya"
"2012","Athletics Men pole vault","Renaud Lavillenie","France","Bj_rn Otto","Germany","Raphael Holzdeppe","Germany"
"2012","Athletics Men shot put","Tomasz Majewski","Poland","David Storl","Germany","Reese Hoffa","United States"
"2012","Athletics Men triple jump","Christian Taylor","United States","Will Claye","United States","Fabrizio Donato","Italy"
"2012","Athletics Women 100 metres","Shelly-Ann Fraser-Pryce","Jamaica","Carmelita Jeter","United States","Veronica Campbell-Brown","Jamaica"
"2012","Athletics Women 100 metres hurdles","Sally McLellan-Pearson","Australia","Dawn Harper","United States","Kellie Wells","United States"
"2012","Athletics Women 10000 metres","Tirunesh Dibaba","Ethiopia","Sally Kipyego","Kenya","Vivian Cheruiyot","Kenya"
"2012","Athletics Women 1500 metres","Asl_ _ak_r","Turkey","Gamze Bulut","Turkey","Maryam Jamal","Bahrain"
"2012","Athletics Women 20 kilometres walk","Yelena Lashmanova","Russia","Olga Kaniskina","Russia","Qieyang Shenjie","China"
"2012","Athletics Women 200 metres","Allyson Felix","United States","Shelly-Ann Fraser-Pryce","Jamaica","Carmelita Jeter","United States"
"2012","Athletics Women 3000 metres steeplechase","Yuliya Zaripova","Russia","Habiba Al-Ghribi-Boudra","Tunisia","Sofia Assefa","Ethiopia"
"2012","Athletics Women 4 x 100 metres relay","United States","United States","Jamaica","Jamaica","Ukraine","Ukraine"
"2012","Athletics Women 4 x 400 metres relay","United States","United States","Russia","Russia","Jamaica","Jamaica"
"2012","Athletics Women 400 metres","Sanya Richards-Ross","United States","Christine Ohuruogu","Great Britain","DeeDee Trotter","United States"
"2012","Athletics Women 400 metres hurdles","Nataliya Antyukh","Russia","Lashinda Demus","United States","Zuzana Hejnov_","Czech Republic"
"2012","Athletics Women 5000 metres","Meseret Defar","Ethiopia","Vivian Cheruiyot","Kenya","Tirunesh Dibaba","Ethiopia"
"2012","Athletics Women 800 metres","Mariya Savinova","Russia","Caster Semenya","South Africa","Yekaterina Poistogova","Russia"
"2012","Athletics Women discus throw","Sandra Perkovi_","Croatia","Darya Pishchalnikova","Russia","Li Yanfeng","China"
"2012","Athletics Women hammer throw","Tatyana Lysenko","Russia","Anita W_odarczyk","Poland","Betty Heidler","Germany"
"2012","Athletics Women heptathlon","Jessica Ennis","Great Britain","Lilli Schwarzkopf","Germany","Tatyana Chernova","Russia"
"2012","Athletics Women high jump","Anna Chicherova","Russia","Brigetta Barrett","United States","Svetlana Shkolina","Russia"
"2012","Athletics Women javelin throw","Barbora _pot_kov_","Czech Republic","Christina Obergf_ll","Germany","Linda Stahl","Germany"
"2012","Athletics Women long jump","Brittney Reese","United States","Yelena Sokolova","Russia","Janay DeLoach","United States"
"2012","Athletics Women marathon","Tiki Gelana","Ethiopia","Priscah Jeptoo","Kenya","Tatyana Petrova-Arkhipova","Russia"
"2012","Athletics Women pole vault","Jenn Stuczynski-Suhr","United States","Yarisley Silva","Cuba","Yelena Isinbayeva","Russia"
"2012","Athletics Women shot put","Valerie Adams-Vili","New Zealand","Yevgeniya Kolodko","Russia","Gong Lijiao","China"
"2012","Athletics Women triple jump","Olga Rypakova","Kazakhstan","Caterine Ibarg__n","Colombia","Olha Saladukha","Ukraine"
"2012","Badminton Men doubles","China","China","Denmark","Denmark","South Korea","South Korea"
"2012","Badminton Men singles","Lin Dan","China","Lee Chong Wei","Malaysia","Chen Long","China"
"2012","Badminton Mixed doubles","China","China","China","China","Denmark","Denmark"
"2012","Badminton Women doubles","China","China","Japan","Japan","Russia","Russia"
"2012","Badminton Women singles","Li Xuerui","China","Wang Yihan","China","Saina Nehwal","India"
"2012","Basketball Men basketball","United States","United States","Spain","Spain","Russia","Russia"
"2012","Basketball Women basketball","United States","United States","France","France","Australia","Australia"
"2012","Beach Volleyball Men beach volleyball","Germany","Germany","Brazil","Brazil","Latvia","Latvia"
"2012","Beach Volleyball Women beach volleyball","United States","United States","United States","United States","Brazil","Brazil"
"2012","Boxing Men bantamweight","Luke Campbell","Great Britain","John Joe Nevin","Ireland","['Satoshi Shimizu', 'L\xc3\xa1zaro \xc3\x81lvarez']","['Japan', 'Cuba']"
"2012","Boxing Men flyweight","Robeisy Ram_rez","Cuba","Nyambayaryn T_gstsogt","Mongolia","['Misha Aloyan', 'Michael Conlan']","['Russia', 'Ireland']"
"2012","Boxing Men heavyweight","Oleksandr Usik","Ukraine","Clemente Russo","Italy","['Teymur M\xc9\x99mm\xc9\x99dov', 'Tervel Pulev']","['Azerbaijan', 'Bulgaria']"
"2012","Boxing Men light flyweight","Zou Shiming","China","Kaeo Pongprayoon","Thailand","['Paddy Barnes', 'David Ayrapetyan']","['Ireland', 'Russia']"
"2012","Boxing Men light heavyweight","Yegor Mekhontsev","Russia","Adilbek Niyazymbetov","Kazakhstan","['Oleksandr Hvozdyk', 'Yamaguchi Florentino']","['Ukraine', 'Brazil']"
"2012","Boxing Men light welterweight","Roniel Iglesias","Cuba","Denys Berinchyk","Ukraine","['Uranchimegiin M\xc3\xb6nkh-Erdene', 'Vincenzo Mangiacapre']","['Mongolia', 'Italy']"
"2012","Boxing Men lightweight","Vasyl Lomachenko","Ukraine","Han Sun-Cheol","South Korea","['Evaldas Petrauskas', 'Yasnier Toledo']","['Lithuania', 'Cuba']"
"2012","Boxing Men middleweight","Ryota Murata","Japan","Esquiva Florentino","Brazil","['Abbos Atayev', 'Anthony Ogogo']","['Uzbekistan', 'Great Britain']"
"2012","Boxing Men super heavyweight","Anthony Joshua","Great Britain","Roberto Cammarelle","Italy","['M\xc9\x99h\xc9\x99mm\xc9\x99dr\xc9\x99sul M\xc9\x99cidov', 'Ivan Dychko']","['Azerbaijan', 'Kazakhstan']"
"2012","Boxing Men welterweight","Serik Sapiyev","Kazakhstan","Fred Evans","Great Britain","['Andrey Zamkovoy', 'Taras Shelestiuk']","['Russia', 'Ukraine']"
"2012","Boxing Women flyweight","Nicola Adams","Great Britain","Ren Cancan","China","['Mary Kom', 'Marlen Esparza']","['India', 'United States']"
"2012","Boxing Women lightweight","Katie Taylor","Ireland","Sofya Ochigava","Russia","['Adriana Ara\xc3\xbajo', 'Mavzuna Chorieva']","['Brazil', 'Tajikistan']"
"2012","Boxing Women middleweight","Claressa Shields","United States","Nadezhda Torlopova","Russia","['Li Jinzi', 'Marina Volnova']","['China', 'Kazakhstan']"
"2012","Canoeing Men canadian doubles 1000 metres","Germany","Germany","Belarus","Belarus","Russia","Russia"
"2012","Canoeing Men canadian doubles slalom","Great Britain","Great Britain","Great Britain","Great Britain","Slovakia","Slovakia"
"2012","Canoeing Men canadian singles 1000 metres","Sebastian Brendel","Germany","David Cal","Spain","Mark Oldershaw","Canada"
"2012","Canoeing Men canadian singles 200 metres","Yuriy Cheban","Ukraine","Jevgenijus _uklinas","Lithuania","Ivan Shtyl","Russia"
"2012","Canoeing Men canadian singles slalom","Tony Estanguet","France","Sideris Tasiadis","Germany","Michal Martik_n","Slovakia"
"2012","Canoeing Men kayak doubles 1000 metres","Hungary","Hungary","Portugal","Portugal","Germany","Germany"
"2012","Canoeing Men kayak doubles 200 metres","Russia","Russia","Belarus","Belarus","Great Britain","Great Britain"
"2012","Canoeing Men kayak fours 1000 metres","Australia","Australia","Hungary","Hungary","Czech Republic","Czech Republic"
"2012","Canoeing Men kayak singles 1000 metres","Eirik Ver_s Larsen","Norway","Adam Van Koeverden","Canada","Max Hoff","Germany"
"2012","Canoeing Men kayak singles 200 metres","Ed McKeever","Great Britain","Sa_l Craviotto","Spain","Mark de Jonge","Canada"
"2012","Canoeing Men kayak singles slalom","Daniele Molmenti","Italy","Vav_inec Hrad_lek","Czech Republic","Hannes Aigner","Germany"
"2012","Canoeing Women kayak doubles 500 metres","Germany","Germany","Hungary","Hungary","Poland","Poland"
"2012","Canoeing Women kayak fours 500 metres","Hungary","Hungary","Germany","Germany","Belarus","Belarus"
"2012","Canoeing Women kayak singles 200 metres","Lisa Carrington","New Zealand","Inna Osypenko-Radomska","Ukraine","Natasa Douchev-Janics","Hungary"
"2012","Canoeing Women kayak singles 500 metres","Danuta Koz_k","Hungary","Inna Osypenko-Radomska","Ukraine","Bridgitte Hartley","South Africa"
"2012","Canoeing Women kayak singles slalom","Emilie Fer","France","Jess Fox","Australia","Maialen Chourraut","Spain"
"2012","Cycling Men bmx","M_ris _trombergs","Latvia","Sam Willoughby","Australia","Carlos Oquendo","Colombia"
"2012","Cycling Men individual time trial","Bradley Wiggins","Great Britain","Tony Martin","Germany","Chris Froome","Great Britain"
"2012","Cycling Men keirin","Chris Hoy","Great Britain","Maximilian Levy","Germany","['Teun Mulder', 'Simon van Velthooven']","['Netherlands', 'New Zealand']"
"2012","Cycling Men mountainbike cross country","Jaroslav Kulhav_","Czech Republic","Nino Schurter","Switzerland",,
"2012","Cycling Men omnium","Lasse Norman Hansen","Denmark","Bryan Coquard","France","Ed Clancy","Great Britain"
"2012","Cycling Men road race individual","Aleksandr Vinokurov","Kazakhstan","Rigoberto Ur_n","Colombia","Alexander Kristoff","Norway"
"2012","Cycling Men sprint","Jason Kenny","Great Britain","Gr_gory Baug_","France","Shane Perkins","Australia"
"2012","Cycling Men team pursuit 4000 metres","Great Britain","Great Britain","Australia","Australia","New Zealand","New Zealand"
"2012","Cycling Men team sprint","Great Britain","Great Britain","France","France","Germany","Germany"
"2012","Cycling Women bmx","Mariana Paj_n","Colombia","Sarah Walker","New Zealand","Laura Smulders","Netherlands"
"2012","Cycling Women individual time trial","Kristin Armstrong","United States","Judith Arndt","Germany","Olga Zabelinskaya","Russia"
"2012","Cycling Women keirin","Vicki Pendleton","Great Britain","Guo Shuang","China","Lee Wai Sze","Hong Kong"
"2012","Cycling Women mountainbike cross country","Julie Bresset","France","Sabine Spitz","Germany","Georgia Gould","United States"
"2012","Cycling Women omnium","Laura Trott","Great Britain","Sarah Hammer","United States","Annette Edmondson","Australia"
"2012","Cycling Women road race individual","Marianne Vos","Netherlands","Lizzie Armitstead","Great Britain","Olga Zabelinskaya","Russia"
"2012","Cycling Women sprint","Anna Meares","Australia","Vicki Pendleton","Great Britain","Guo Shuang","China"
"2012","Cycling Women team pursuit 3000 metres","Great Britain","Great Britain","United States","United States","Canada","Canada"
"2012","Cycling Women team sprint","Germany","Germany","China","China","Australia","Australia"
"2012","Diving Men platform","David Boudia","United States","Qiu Bo","China","Tom Daley","Great Britain"
"2012","Diving Men springboard","Ilya Zakharov","Russia","Qin Kai","China","He Chong","China"
"2012","Diving Men synchronized platform","China","China","Mexico","Mexico","United States","United States"
"2012","Diving Men synchronized springboard","China","China","Russia","Russia","United States","United States"
"2012","Diving Women platform","Chen Ruolin","China","Brittany Broben","Australia","Pandelela Rinong","Malaysia"
"2012","Diving Women springboard","Wu Minxia","China","He Zi","China","Laura S_nchez","Mexico"
"2012","Diving Women synchronized platform","China","China","Mexico","Mexico","Canada","Canada"
"2012","Diving Women synchronized springboard","China","China","United States","United States","Canada","Canada"
"2012","Equestrianism Mixed dressage individual","Charlotte Dujardin","Great Britain","Adelinde Cornelissen","Netherlands","Laura Bechtolsheimer","Great Britain"
"2012","Equestrianism Mixed dressage team","Great Britain","Great Britain","Germany","Germany","Netherlands","Netherlands"
"2012","Equestrianism Mixed jumping individual","Steve Guerdat","Switzerland","Gerco Schr_der","Netherlands","Cian O'Connor","Ireland"
"2012","Equestrianism Mixed jumping team","Great Britain","Great Britain","Netherlands","Netherlands","Saudi Arabia","Saudi Arabia"
"2012","Equestrianism Mixed three day event individual","Michael Jung","Germany","Sara Algotsson Ostholt","Sweden","Sandra Auffarth","Germany"
"2012","Equestrianism Mixed three day event team","Germany","Germany","Great Britain","Great Britain","New Zealand","New Zealand"
"2012","Fencing Men epee individual","Rub_n Limardo","Venezuela","Bartosz Piasecki","Norway","Jeong Jin-Seon","South Korea"
"2012","Fencing Men foil individual","Lei Sheng","China","Alaaeldin Abouelkassem","Egypt","Choi Byeong-Cheol","South Korea"
"2012","Fencing Men foil team","Italy","Italy","Japan","Japan","Germany","Germany"
"2012","Fencing Men sabre individual","_ron Szil_gyi","Hungary","Diego Occhiuzzi","Italy","Nikolay Kovalyov","Russia"
"2012","Fencing Men sabre team","South Korea","South Korea","Romania","Romania","Italy","Italy"
"2012","Fencing Women epee individual","Yana Shemiakina","Ukraine","Britta Heidemann","Germany","Sun Yujie","China"
"2012","Fencing Women epee team","China","China","South Korea","South Korea","United States","United States"
"2012","Fencing Women foil individual","Elisa Di Francisca","Italy","Arianna Errigo","Italy","Valentina Vezzali","Italy"
"2012","Fencing Women foil team","Italy","Italy","Russia","Russia","South Korea","South Korea"
"2012","Fencing Women sabre individual","Kim Ji-Yeon","South Korea","Sofiya Velikaya","Russia","Olha Kharlan","Ukraine"
"2012","Football Men football","Mexico","Mexico","Brazil","Brazil","South Korea","South Korea"
"2012","Football Women football","United States","United States","Japan","Japan","Canada","Canada"
"2012","Gymnastics Men floor exercise","Zou Kai","China","Kohei Uchimura","Japan","Denis Ablyazin","Russia"
"2012","Gymnastics Men horizontal bar","Epke Zonderland","Netherlands","Fabian Hamb_chen","Germany","Zou Kai","China"
