Year,Event,Gold,Gold_Nation,Silver,Silver_Nation,Bronze,Bronze_Nation
"1968","Canoeing Men kayak fours 1000 metres","Norway","Norway","Romania","Romania","Hungary","Hungary"
"1968","Canoeing Men kayak singles 1000 metres","Mih_ly Hesz","Hungary","Oleksandr Shaparenko","Soviet Union","Erik Hansen","Denmark"
"1968","Canoeing Women kayak doubles 500 metres","West Germany","West Germany","Hungary","Hungary","Soviet Union","Soviet Union"
"1968","Canoeing Women kayak singles 500 metres","Lyudmila Khvedosyuk-Pinayeva","Soviet Union","Renate Breuer","West Germany","Viorica Dumitru","Romania"
"1968","Cross Country Skiing Men 15 kilometres","Harald Gr_nningen","Norway","Eero M_ntyranta","Finland","Gunnar Larsson","Sweden"
"1968","Cross Country Skiing Men 30 kilometres","Franco Nones","Italy","Odd Martinsen","Norway","Eero M_ntyranta","Finland"
"1968","Cross Country Skiing Men 4 x 10 kilometres relay","Norway","Norway","Sweden","Sweden","Finland","Finland"
"1968","Cross Country Skiing Men 50 kilometres","Ole Ellefs_ter","Norway","Vyacheslav Vedenin","Soviet Union","Josef Haas","Switzerland"
"1968","Cross Country Skiing Women 10 kilometres","Toini Gustafsson","Sweden","Berit M_rdre-Lammedal","Norway","Inger Aufles","Norway"
"1968","Cross Country Skiing Women 3 x 5 kilometres relay","Norway","Norway","Sweden","Sweden","Soviet Union","Soviet Union"
"1968","Cross Country Skiing Women 5 kilometres","Toini Gustafsson","Sweden","Galina Kulakova","Soviet Union","Alevtina Kolchina","Soviet Union"
"1968","Cycling Men 100 kilometres team time trial","Netherlands","Netherlands","Sweden","Sweden","Italy","Italy"
"1968","Cycling Men 1000 metres time trial","Pierre Trentin","France","Niels Fredborg","Denmark","Janusz Kierzkowski","Poland"
"1968","Cycling Men individual pursuit 4000 metres","Daniel R_billard","France","Mogens Frey Jensen","Denmark","Xaver Kurmann","Switzerland"
"1968","Cycling Men road race individual","Pierfranco Vianelli","Italy","Leif Mortensen","Denmark","G_sta Pettersson","Sweden"
"1968","Cycling Men sprint","Daniel Morelon","France","Giordano Turrini","Italy","Pierre Trentin","France"
"1968","Cycling Men tandem sprint 2000 metres","France","France","Netherlands","Netherlands","Belgium","Belgium"
"1968","Cycling Men team pursuit 4000 metres","Denmark","Denmark","West Germany","West Germany","Italy","Italy"
"1968","Diving Men platform","Klaus Dibiasi","Italy","_lvaro Gaxiola","Mexico","Win Young","United States"
"1968","Diving Men springboard","Bernie Wrightson","United States","Klaus Dibiasi","Italy","Jim Henry","United States"
"1968","Diving Women platform","Milena Duchkov_","Czechoslovakia","Nataliya Kuznetsova-Lobanova","Soviet Union","Ann Peterson","United States"
"1968","Diving Women springboard","Sue Gossick","United States","Tamara Fedosova-Pogozheva-Safonova","Soviet Union","Keala O'Sullivan","United States"
"1968","Equestrianism Mixed dressage individual","Ivan Kizimov","Soviet Union","Josef Neckermann","West Germany","Reiner Klimke","West Germany"
"1968","Equestrianism Mixed dressage team","West Germany","West Germany","Soviet Union","Soviet Union","Switzerland","Switzerland"
"1968","Equestrianism Mixed jumping individual","Bill Steinkraus","United States","Marion Coakes","Great Britain","David Broome","Great Britain"
"1968","Equestrianism Mixed jumping team","Canada","Canada","France","France","West Germany","West Germany"
"1968","Equestrianism Mixed three day event individual","Jean-Jacques Guyon","France","Derek Allhusen","Great Britain","Michael Page","United States"
